pair_name,nofilter,window,optimal,HC_mean,HC_sd,nofilter-HC,|nofilter-HC|,z_nofilter,window-HC,|window-HC|,z_window,optimal-HC,|optimal-HC|,z_optimal
orange-yellow,0.1925,0.1775,0.4575,0.2781,0.1353,-0.0856,0.0856,-0.6327,-0.1006,0.1006,-0.7436,0.1794,0.1794,1.3262
yellow-green,0.1275,0.0534,0.06,0.0895,0.0435,0.038,0.038,0.8731,-0.0362,0.0362,-0.8316,-0.0295,0.0295,-0.6787
green-blue,0.155,0.2425,0.1075,0.0794,0.0321,0.0756,0.0756,2.3564,0.1631,0.1631,5.0838,0.0281,0.0281,0.8759
red-orange,0.075,0.1275,0.0625,0.1238,0.0719,-0.0488,0.0488,-0.679,0.0037,0.0037,0.0514,-0.0613,0.0613,-0.8529
blue-purple,0.1475,0.1225,0.1275,0.1643,0.0925,-0.0168,0.0168,-0.1815,-0.0418,0.0418,-0.4517,-0.0368,0.0368,-0.3976
yellow-purple,0.0275,0.0175,0.015,0.0218,0.0061,0.0057,0.0057,0.9406,-0.0043,0.0043,-0.7055,-0.0068,0.0068,-1.117
cyan-magenta,0.0375,0.145,0.0175,0.0421,0.0165,-0.0046,0.0046,-0.2817,0.1029,0.1029,6.2398,-0.0246,0.0246,-1.4949
red-cyan,0.015,0.035,0.0225,0.0336,0.0151,-0.0186,0.0186,-1.2276,0.0014,0.0014,0.0944,-0.0111,0.0111,-0.7318
