pair_name,baseline,window,optimal,opt_minus_win,opt_minus_base
orange-yellow,0.1925,0.1775,0.4575,0.28,0.265
yellow-green,0.1275,0.0534,0.06,0.0066,-0.0675
green-blue,0.155,0.2425,0.1075,-0.135,-0.0475
red-orange,0.075,0.1275,0.0625,-0.065,-0.0125
blue-purple,0.1475,0.1225,0.1275,0.005,-0.02
yellow-purple,0.0275,0.0175,0.015,-0.0025,-0.0125
cyan-magenta,0.0375,0.145,0.0175,-0.1275,-0.02
red-cyan,0.015,0.035,0.0225,-0.0125,0.0075
